"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"tinytex","packages/x86_64-w64-mingw32/4.2","0.42",NA,NA,NA,NA
"units","packages/x86_64-w64-mingw32/4.2","0.8-0",NA,NA,NA,NA
"urlchecker","packages/x86_64-w64-mingw32/4.2","1.0.1",NA,NA,NA,NA
"usethis","packages/x86_64-w64-mingw32/4.2","2.1.6",NA,NA,NA,NA
"utf8","packages/x86_64-w64-mingw32/4.2","1.2.2",NA,NA,NA,NA
"uuid","packages/x86_64-w64-mingw32/4.2","1.1-0",NA,NA,NA,NA
"vctrs","packages/x86_64-w64-mingw32/4.2","0.4.2",NA,NA,NA,NA
"viridisLite","packages/x86_64-w64-mingw32/4.2","0.4.1",NA,NA,NA,NA
"waldo","packages/x86_64-w64-mingw32/4.2","0.4.0",NA,NA,NA,NA
"whisker","packages/x86_64-w64-mingw32/4.2","0.4",NA,NA,NA,NA
"withr","packages/x86_64-w64-mingw32/4.2","2.5.0",NA,NA,NA,NA
"wk","packages/x86_64-w64-mingw32/4.2","0.6.0",NA,NA,NA,NA
"xfun","packages/x86_64-w64-mingw32/4.2","0.33",NA,NA,NA,NA
"XML","packages/x86_64-w64-mingw32/4.2","3.99-0.11",NA,NA,NA,NA
"xml2","packages/x86_64-w64-mingw32/4.2","1.3.3",NA,NA,NA,NA
"xopen","packages/x86_64-w64-mingw32/4.2","1.0.0",NA,NA,NA,NA
"xtable","packages/x86_64-w64-mingw32/4.2","1.8-4",NA,NA,NA,NA
"yaml","packages/x86_64-w64-mingw32/4.2","2.3.5",NA,NA,NA,NA
"zip","packages/x86_64-w64-mingw32/4.2","2.2.1",NA,NA,NA,NA
"zoo","packages/x86_64-w64-mingw32/4.2","1.8-11",NA,NA,NA,NA
