"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"htmlTable","packages/x86_64-w64-mingw32/4.0/","2.2.1",NA,NA,NA,NA
"htmltools","packages/x86_64-w64-mingw32/4.0/","0.5.2",NA,NA,NA,NA
"htmlwidgets","packages/x86_64-w64-mingw32/4.0/","1.5.3",NA,NA,NA,NA
"httpuv","packages/x86_64-w64-mingw32/4.0/","1.6.5",NA,NA,NA,NA
"httr","packages/x86_64-w64-mingw32/4.0/","1.4.2",NA,NA,NA,NA
"hunspell","packages/x86_64-w64-mingw32/4.0/","3.0.1",NA,NA,NA,NA
"igraph","packages/x86_64-w64-mingw32/4.0/","1.2.11",NA,NA,NA,NA
"ini","packages/x86_64-w64-mingw32/4.0/","0.3.1",NA,NA,NA,NA
"isoband","packages/x86_64-w64-mingw32/4.0/","0.2.5",NA,NA,NA,NA
"iterators","packages/x86_64-w64-mingw32/4.0/","1.0.14",NA,NA,NA,NA
"jpeg","packages/x86_64-w64-mingw32/4.0/","0.1-9",NA,NA,NA,NA
"jquerylib","packages/x86_64-w64-mingw32/4.0/","0.1.4",NA,NA,NA,NA
"jsonlite","packages/x86_64-w64-mingw32/4.0/","1.8.0",NA,NA,NA,NA
"kableExtra","packages/x86_64-w64-mingw32/4.0/","1.3.4",NA,NA,NA,NA
"knitr","packages/x86_64-w64-mingw32/4.0/","1.37",NA,NA,NA,NA
"labeling","packages/x86_64-w64-mingw32/4.0/","0.4.2",NA,NA,NA,NA
"LandR","packages/x86_64-w64-mingw32/4.0/","1.0.7.9012","LandR","PredictiveEcology","development","2eb670196aa80ffdb5641ed96abcf450f8f7337e"
"LandR.CS","packages/x86_64-w64-mingw32/4.0/","0.0.2.0002","LandR.CS","ianmseddy","HEAD","ad6c2cea634c44ffbdb8c077f2380c1f919a9c1e"
"later","packages/x86_64-w64-mingw32/4.0/","1.3.0",NA,NA,NA,NA
"latticeExtra","packages/x86_64-w64-mingw32/4.0/","0.6-29",NA,NA,NA,NA
"lazyeval","packages/x86_64-w64-mingw32/4.0/","0.2.2",NA,NA,NA,NA
"lifecycle","packages/x86_64-w64-mingw32/4.0/","1.0.1",NA,NA,NA,NA
"listenv","packages/x86_64-w64-mingw32/4.0/","0.8.0",NA,NA,NA,NA
"lme4","packages/x86_64-w64-mingw32/4.0/","1.1-28",NA,NA,NA,NA
"lobstr","packages/x86_64-w64-mingw32/4.0/","1.1.1",NA,NA,NA,NA
"lubridate","packages/x86_64-w64-mingw32/4.0/","1.8.0",NA,NA,NA,NA
"magrittr","packages/x86_64-w64-mingw32/4.0/","2.0.2",NA,NA,NA,NA
"map","packages/x86_64-w64-mingw32/4.0/","0.0.3.9001","map","PredictiveEcology","development","a7bf56142ae4301d76e885243212e387c6fef1f1"
"maptools","packages/x86_64-w64-mingw32/4.0/","1.1-3",NA,NA,NA,NA
"markdown","packages/x86_64-w64-mingw32/4.0/","1.1",NA,NA,NA,NA
"MatrixModels","packages/x86_64-w64-mingw32/4.0/","0.5-0",NA,NA,NA,NA
"matrixStats","packages/x86_64-w64-mingw32/4.0/","0.60.0",NA,NA,NA,NA
"mclust","packages/x86_64-w64-mingw32/4.0/","5.4.7",NA,NA,NA,NA
"memoise","packages/x86_64-w64-mingw32/4.0/","2.0.1",NA,NA,NA,NA
"merTools","packages/x86_64-w64-mingw32/4.0/","0.5.2",NA,NA,NA,NA
"mime","packages/x86_64-w64-mingw32/4.0/","0.12",NA,NA,NA,NA
"miniUI","packages/x86_64-w64-mingw32/4.0/","0.1.1.1",NA,NA,NA,NA
"minqa","packages/x86_64-w64-mingw32/4.0/","1.2.4",NA,NA,NA,NA
"MuMIn","packages/x86_64-w64-mingw32/4.0/","1.46.0",NA,NA,NA,NA
"munsell","packages/x86_64-w64-mingw32/4.0/","0.5.0",NA,NA,NA,NA
"mvtnorm","packages/x86_64-w64-mingw32/4.0/","1.1-2",NA,NA,NA,NA
"nloptr","packages/x86_64-w64-mingw32/4.0/","2.0.0",NA,NA,NA,NA
"numDeriv","packages/x86_64-w64-mingw32/4.0/","2016.8-1.1",NA,NA,NA,NA
"openssl","packages/x86_64-w64-mingw32/4.0/","2.0.0",NA,NA,NA,NA
"openxlsx","packages/x86_64-w64-mingw32/4.0/","4.2.4",NA,NA,NA,NA
"parallelly","packages/x86_64-w64-mingw32/4.0/","1.27.0",NA,NA,NA,NA
"pbkrtest","packages/x86_64-w64-mingw32/4.0/","0.5.1",NA,NA,NA,NA
"pemisc","packages/x86_64-w64-mingw32/4.0/","0.0.3.9004","pemisc","PredictiveEcology","development","6d35d212d55e04d9457a54937ab039462419e638"
"peutils","packages/x86_64-w64-mingw32/4.0/","0.1.0","peutils","PredictiveEcology","development","d40d97c594c01014101c1edacd48bcace89dcb97"
"pillar","packages/x86_64-w64-mingw32/4.0/","1.7.0",NA,NA,NA,NA
"pkgbuild","packages/x86_64-w64-mingw32/4.0/","1.2.0",NA,NA,NA,NA
"pkgconfig","packages/x86_64-w64-mingw32/4.0/","2.0.3",NA,NA,NA,NA
"pkgload","packages/x86_64-w64-mingw32/4.0/","1.2.4",NA,NA,NA,NA
"plogr","packages/x86_64-w64-mingw32/4.0/","0.2.0",NA,NA,NA,NA
"plyr","packages/x86_64-w64-mingw32/4.0/","1.8.6",NA,NA,NA,NA
"png","packages/x86_64-w64-mingw32/4.0/","0.1-7",NA,NA,NA,NA
"polynom","packages/x86_64-w64-mingw32/4.0/","1.4-0",NA,NA,NA,NA
"praise","packages/x86_64-w64-mingw32/4.0/","1.0.0",NA,NA,NA,NA
"prettymapr","packages/x86_64-w64-mingw32/4.0/","0.2.2",NA,NA,NA,NA
"prettyunits","packages/x86_64-w64-mingw32/4.0/","1.1.1",NA,NA,NA,NA
"processx","packages/x86_64-w64-mingw32/4.0/","3.5.2",NA,NA,NA,NA
"progress","packages/x86_64-w64-mingw32/4.0/","1.2.2",NA,NA,NA,NA
"promises","packages/x86_64-w64-mingw32/4.0/","1.2.0.1",NA,NA,NA,NA
"proxy","packages/x86_64-w64-mingw32/4.0/","0.4-26",NA,NA,NA,NA
"pryr","packages/x86_64-w64-mingw32/4.0/","0.1.4",NA,NA,NA,NA
"ps","packages/x86_64-w64-mingw32/4.0/","1.6.0",NA,NA,NA,NA
"purrr","packages/x86_64-w64-mingw32/4.0/","0.3.4",NA,NA,NA,NA
"qs","packages/x86_64-w64-mingw32/4.0/","0.25.3",NA,NA,NA,NA
"quantreg","packages/x86_64-w64-mingw32/4.0/","5.88",NA,NA,NA,NA
"quickPlot","packages/x86_64-w64-mingw32/4.0/","0.1.6",NA,NA,NA,NA
"R.methodsS3","packages/x86_64-w64-mingw32/4.0/","1.8.1",NA,NA,NA,NA
"R.oo","packages/x86_64-w64-mingw32/4.0/","1.24.0",NA,NA,NA,NA
"R.utils","packages/x86_64-w64-mingw32/4.0/","2.11.0",NA,NA,NA,NA
"R6","packages/x86_64-w64-mingw32/4.0/","2.5.1",NA,NA,NA,NA
"RApiSerialize","packages/x86_64-w64-mingw32/4.0/","0.1.0",NA,NA,NA,NA
"rappdirs","packages/x86_64-w64-mingw32/4.0/","0.3.3",NA,NA,NA,NA
"raster","packages/x86_64-w64-mingw32/4.0/","3.5-15",NA,NA,NA,NA
"rasterVis","packages/x86_64-w64-mingw32/4.0/","0.50.3",NA,NA,NA,NA
"rcmdcheck","packages/x86_64-w64-mingw32/4.0/","1.3.3",NA,NA,NA,NA
"RColorBrewer","packages/x86_64-w64-mingw32/4.0/","1.1-2",NA,NA,NA,NA
"Rcpp","packages/x86_64-w64-mingw32/4.0/","1.0.8.3",NA,NA,NA,NA
"RcppArmadillo","packages/x86_64-w64-mingw32/4.0/","0.10.8.1.0",NA,NA,NA,NA
"RcppEigen","packages/x86_64-w64-mingw32/4.0/","0.3.3.9.1",NA,NA,NA,NA
"RcppParallel","packages/x86_64-w64-mingw32/4.0/","5.1.5",NA,NA,NA,NA
"RCurl","packages/x86_64-w64-mingw32/4.0/","1.98-1.6",NA,NA,NA,NA
"readr","packages/x86_64-w64-mingw32/4.0/","2.0.0",NA,NA,NA,NA
"readxl","packages/x86_64-w64-mingw32/4.0/","1.3.1",NA,NA,NA,NA
"RefManageR","packages/x86_64-w64-mingw32/4.0/","1.3.0",NA,NA,NA,NA
"rematch","packages/x86_64-w64-mingw32/4.0/","1.0.1",NA,NA,NA,NA
"rematch2","packages/x86_64-w64-mingw32/4.0/","2.1.2",NA,NA,NA,NA
"reproducible","packages/x86_64-w64-mingw32/4.0/","1.2.8.9040","reproducible","PredictiveEcology","development","f35b3ffae1898d7f7f2451e45f82f5a76c4f0413"
"Require","packages/x86_64-w64-mingw32/4.0/","0.0.13.9003","Require","PredictiveEcology","development","84de0530614b008d77800fcbd98a740af0ddf227"
"rex","packages/x86_64-w64-mingw32/4.0/","1.2.0",NA,NA,NA,NA
"rgdal","packages/x86_64-w64-mingw32/4.0/","1.5-29",NA,NA,NA,NA
"rgeos","packages/x86_64-w64-mingw32/4.0/","0.5-9",NA,NA,NA,NA
"rio","packages/x86_64-w64-mingw32/4.0/","0.5.27",NA,NA,NA,NA
"rjson","packages/x86_64-w64-mingw32/4.0/","0.2.21",NA,NA,NA,NA
"rlang","packages/x86_64-w64-mingw32/4.0/","1.0.2",NA,NA,NA,NA
"rmarkdown","packages/x86_64-w64-mingw32/4.0/","2.11",NA,NA,NA,NA
"rmdformats","packages/x86_64-w64-mingw32/4.0/","1.0.3",NA,NA,NA,NA
"rosm","packages/x86_64-w64-mingw32/4.0/","0.2.5",NA,NA,NA,NA
"roxygen2","packages/x86_64-w64-mingw32/4.0/","7.1.1",NA,NA,NA,NA
"rprojroot","packages/x86_64-w64-mingw32/4.0/","2.0.2",NA,NA,NA,NA
"RSQLite","packages/x86_64-w64-mingw32/4.0/","2.2.10",NA,NA,NA,NA
"rstatix","packages/x86_64-w64-mingw32/4.0/","0.7.0",NA,NA,NA,NA
"rstudioapi","packages/x86_64-w64-mingw32/4.0/","0.13",NA,NA,NA,NA
"rversions","packages/x86_64-w64-mingw32/4.0/","2.1.1",NA,NA,NA,NA
"rvest","packages/x86_64-w64-mingw32/4.0/","1.0.2",NA,NA,NA,NA
"s2","packages/x86_64-w64-mingw32/4.0/","1.0.7",NA,NA,NA,NA
"sass","packages/x86_64-w64-mingw32/4.0/","0.4.0",NA,NA,NA,NA
"scales","packages/x86_64-w64-mingw32/4.0/","1.1.1",NA,NA,NA,NA
"selectr","packages/x86_64-w64-mingw32/4.0/","0.4-2",NA,NA,NA,NA
"sessioninfo","packages/x86_64-w64-mingw32/4.0/","1.1.1",NA,NA,NA,NA
"sf","packages/x86_64-w64-mingw32/4.0/","1.0-7",NA,NA,NA,NA
"shiny","packages/x86_64-w64-mingw32/4.0/","1.7.1",NA,NA,NA,NA
"shinyjs","packages/x86_64-w64-mingw32/4.0/","2.1.0",NA,NA,NA,NA
"sourcetools","packages/x86_64-w64-mingw32/4.0/","0.1.7",NA,NA,NA,NA
"sp","packages/x86_64-w64-mingw32/4.0/","1.4-6",NA,NA,NA,NA
"SpaDES","packages/x86_64-w64-mingw32/4.0/","2.0.7",NA,NA,NA,NA
"SpaDES.addins","packages/x86_64-w64-mingw32/4.0/","0.1.3",NA,NA,NA,NA
"SpaDES.core","packages/x86_64-w64-mingw32/4.0/","1.0.10.9005","SpaDES.core","PredictiveEcology","development","f5981edd7a8f372132cca18528ec1b63dd084ef9"
"SpaDES.experiment","packages/x86_64-w64-mingw32/4.0/","0.0.2.9002","SpaDES.experiment","PredictiveEcology","development","5a23c40f8aa9a9efc6dc16e040f8771561059152"
